Candidate Name,Electoral District,LastName,Riding Number,Party,RidingLastName
Levko Iwanusiw,Mississauga East--Cooksville,Iwanusiw,48,Ontario Libertarian Party,48Iwanusiw
Fayaz Karim,Mississauga East--Cooksville,Karim,48,New Democratic Party of Ontario,48Karim
Linh Nguyen,Mississauga East--Cooksville,Nguyen,48,Green Party of Ontario,48Nguyen
Lloyd Jones,Mississauga South,Jones,50,Green Party of Ontario,50Jones
James Judson,Mississauga South,Judson,50,Ontario Libertarian Party,50Judson
Boris Rosolak,Mississauga South,Rosolak,50,New Democratic Party of Ontario,50Rosolak
Charles Sousa,Mississauga South,Sousa,50,Ontario Liberal Party,50Sousa
Effie Triantafilopoulos,Mississauga South,Triantafilopoulos,50,Progressive Conservative Party of Ontario,50Triantafilopoulos
Andrew Weber,Mississauga South,Weber,50,None of the Above Party,50Weber
Kathy Acheson,Mississauga--Brampton South,Acheson,47,Green Party of Ontario,47Acheson
Robert Alilovic,Mississauga--Brampton South,Alilovic,47,INDEPENDENT,47Alilovic
Amarjeet Gill,Mississauga--Brampton South,Gill,47,Progressive Conservative Party of Ontario,47Gill
Richard Levesque,Mississauga--Brampton South,Levesque,47,Ontario Libertarian Party,47Levesque
Amrit Mangat,Mississauga--Brampton South,Mangat,47,Ontario Liberal Party,47Mangat
Kevin Troake,Mississauga--Brampton South,Troake,47,New Democratic Party of Ontario,47Troake
Kathleen Vezina,Mississauga--Brampton South,Vezina,47,None of the Above Party,47Vezina
Michelle Bilek,Mississauga--Erindale,Bilek,49,New Democratic Party of Ontario,49Bilek
Vivek Gupta,Mississauga--Erindale,Gupta,49,Green Party of Ontario,49Gupta
Chris Jewell,Mississauga--Erindale,Jewell,49,Ontario Libertarian Party,49Jewell
Harinder Takhar,Mississauga--Erindale,Takhar,49,Ontario Liberal Party,49Takhar
Greg Vezina,Mississauga--Erindale,Vezina,49,None of the Above Party,49Vezina
Jeff White,Mississauga--Erindale,White,49,Progressive Conservative Party of Ontario,49White
Bob Delaney,Mississauga--Streetsville,Delaney,51,Ontario Liberal Party,51Delaney
Anju Sikka,Mississauga--Streetsville,Sikka,51,New Democratic Party of Ontario,51Sikka
Nina Tangri,Mississauga--Streetsville,Tangri,51,Progressive Conservative Party of Ontario,51Tangri
Alexander Vezina,Mississauga--Streetsville,Vezina,51,None of the Above Party,51Vezina
Dave Walach,Mississauga--Streetsville,Walach,51,Ontario Libertarian Party,51Walach
Scott Warner,Mississauga--Streetsville,Warner,51,Green Party of Ontario,51Warner
Coreen Corcoran,Nepean--Carleton,Corcoran,52,Ontario Libertarian Party,52Corcoran
Ric Dagenais,Nepean--Carleton,Dagenais,52,New Democratic Party of Ontario,52Dagenais
Gordon Kubanek,Nepean--Carleton,Kubanek,52,Green Party of Ontario,52Kubanek
Lisa MacLeod,Nepean--Carleton,MacLeod,52,Progressive Conservative Party of Ontario,52MacLeod
Jack Uppal,Nepean--Carleton,Uppal,52,Ontario Liberal Party,52Uppal
Chris Ballard,Newmarket--Aurora,Ballard,53,Ontario Liberal Party,53Ballard
Dorian Baxter,Newmarket--Aurora,Baxter,53,Canadians' Choice Party,53Baxter
Angus Duff,Newmarket--Aurora,Duff,53,New Democratic Party of Ontario,53Duff
Jason Jenkins,Newmarket--Aurora,Jenkins,53,Ontario Libertarian Party,53Jenkins
Andrew Roblin,Newmarket--Aurora,Roblin,53,Green Party of Ontario,53Roblin
Jane Twinney,Newmarket--Aurora,Twinney,53,Progressive Conservative Party of Ontario,53Twinney
Robert Yaciuk,Newmarket--Aurora,Yaciuk,53,Trillium Party of Ontario,53Yaciuk
John Beam,Niagara Falls,Beam,54,None of the Above Party,54Beam
Clarke Bitter,Niagara Falls,Bitter,54,Green Party of Ontario,54Bitter
Wayne Gates,Niagara Falls,Gates,54,New Democratic Party of Ontario,54Gates
Bart Maves,Niagara Falls,Maves,54,Progressive Conservative Party of Ontario,54Maves
Ralph Panucci,Niagara Falls,Panucci,54,Ontario Libertarian Party,54Panucci
Lionel Tupman,Niagara Falls,Tupman,54,Ontario Liberal Party,54Tupman
Tim Hudak,Niagara West--Glanbrook,Hudak,55,Progressive Conservative Party of Ontario,55Hudak
Stefanos Karatopis,Niagara West--Glanbrook,Karatopis,55,Ontario Libertarian Party,55Karatopis
Basia Krzyzanowski,Niagara West--Glanbrook,Krzyzanowski,55,Green Party of Ontario,55Krzyzanowski
Brian McCormack,Niagara West--Glanbrook,McCormack,55,New Democratic Party of Ontario,55McCormack
